,Summer_two_weeks_dpH,Summer_Full_exp_dpH,Winter_two_weeks_dpH,Winter_Full_exp_dpH,Summer_two_weeks_omega,Summer_Full_exp_omega,Winter_two_weeks_omega,Winter_Full_exp_omega
1093,5.722046e-05,0.03495264,0.0057816505,0.0057997704,1.807282,1.9517517,1.5650891,1.5651523
1094,5.6743622e-05,0.03721857,0.0041189194,0.004134655,1.8147259,1.9694821,1.5478417,1.5478984
1095,5.531311e-05,0.03297615,0.0032553673,0.0032672882,1.8192059,1.9559737,1.5137929,1.5138344
1096,5.340576e-05,0.031141281,0.003013134,0.0030212402,1.829349,1.9588891,1.4820014,1.4820318
1097,5.2928925e-05,0.0270257,0.0035338402,0.0035414696,1.8389975,1.9514828,1.4671017,1.4671278
1098,5.2452087e-05,0.02798605,0.0053272247,0.0053343773,1.8444844,1.9613816,1.460982,1.4610053
1099,5.1498413e-05,0.03252554,0.012385845,0.012392044,1.8481661,1.9848919,1.4746313,1.4746523
1100,5.1498413e-05,0.041150093,0.013917923,0.0139250755,1.8481444,2.02263,1.487614,1.4876376
1101,5.2928925e-05,0.051002026,0.013655663,0.013663292,1.8464886,2.0647457,1.4945332,1.4945601
1102,5.197525e-05,0.059813976,0.011995792,0.012004852,1.8436311,2.1015484,1.4979138,1.4979445
1103,5.2452087e-05,0.071172714,0.005318165,0.010835171,1.8417091,2.151883,1.4844108,1.5027204
1104,5.1498413e-05,0.081129074,0.0030398369,0.011116505,1.8411665,2.1982467,1.4823799,1.5092226
1105,5.2452087e-05,0.09257555,0.0023813248,0.013297081,1.8402146,2.2522924,1.4848424,1.5212835
1106,5.2452087e-05,0.10225439,0.002254486,0.017875671,1.83981,2.2994277,1.4867048,1.5391749
1107,5.2452087e-05,0.11069012,0.002275467,0.024237633,1.8387399,2.3403418,1.4869981,1.5612774
1108,5.2452087e-05,0.117170334,0.002307415,0.026360035,1.836884,2.370919,1.4849215,1.5663446
1109,5.340576e-05,0.12005329,0.0023870468,0.028000832,1.8343202,2.3824413,1.4829025,1.5696492
1110,5.38826e-05,0.121418476,0.002503872,0.029181957,1.8301977,2.384237,1.4806877,1.571005
1111,5.4836273e-05,0.12704372,0.002562046,0.03369093,1.8265437,2.408643,1.4800005,1.5858384
1112,5.531311e-05,0.13005543,0.0026474,0.039220333,1.827191,2.4253166,1.4788666,1.6038336
1113,5.5789948e-05,0.13009834,0.002837658,0.042684555,1.8279492,2.426678,1.4774561,1.6139561
1114,5.5789948e-05,0.119980335,0.0031738281,0.044467926,1.8363701,2.329519,1.4762802,1.617847
1115,5.4359436e-05,0.115867615,0.0037589073,0.03243971,1.8454531,2.3016841,1.4760166,1.5730296
1116,5.38826e-05,0.09869766,0.0031485558,0.013564587,1.8533081,2.3021383,1.4795243,1.5141702
1117,5.340576e-05,0.08996153,0.002110958,0.0071001053,1.8594319,2.2645693,1.4798307,1.4963318
1118,5.1021576e-05,0.0754056,0.0010046959,0.004096985,1.8603983,2.194063,1.4750648,1.4852422
1119,5.00679e-05,0.06460047,0.0004506111,0.0029730797,1.8590994,2.1415784,1.4374901,1.4455861
1120,5.054474e-05,0.049568176,0.00013542175,0.0027461052,1.8590308,2.0724833,1.3920956,1.4002262
1121,5.00679e-05,0.043519974,5.2452087e-05,0.0034332275,1.8622316,2.0488312,1.3669106,1.3772689
1122,4.9591064e-05,0.04119444,3.194809e-05,0.004535198,1.8674531,2.044175,1.3550822,1.3687857
1123,4.9591064e-05,0.04176283,2.3841858e-05,0.007536888,1.8683769,2.047737,1.3505512,1.3734126
1124,5.00679e-05,0.044753075,1.4305115e-05,0.020403862,1.8692797,2.0621328,1.349824,1.4126921
1125,5.1021576e-05,0.04818678,4.053116e-05,0.015472412,1.8680282,2.0762346,1.3569967,1.404563
1126,5.054474e-05,0.058162212,0.00014400482,0.012503624,1.8692592,2.123224,1.36728,1.4055246
1127,5.00679e-05,0.07010651,0.000269413,0.010117054,1.8691435,2.178914,1.3755336,1.4060984
1128,5.1021576e-05,0.079054356,0.00036907196,0.009656906,1.868661,2.221034,1.3815726,1.4105006
1129,5.054474e-05,0.08323765,0.00047683716,0.010463238,1.8681053,2.2405858,1.3883263,1.4195951
1130,5.054474e-05,0.087655544,0.00053167343,0.01215744,1.867566,2.2614477,1.3947388,1.4340525
1131,5.054474e-05,0.09365463,0.00055933,0.014960289,1.8669538,2.290204,1.3988093,1.4517093
1132,5.054474e-05,0.09825516,0.00056552887,0.01828003,1.8666964,2.312814,0.9340274,0.97992355
1133,5.00679e-05,0.09867954,0.00058460236,0.025434494,1.8655101,2.3135135,1.402443,1.4822493
1134,5.054474e-05,0.103256226,0.0005450249,0.030134678,1.8636827,2.3342419,1.4057509,1.5014973
